,id,lon,lat,geometry
612,444283.0,-16.063763788684998,16.38229167045499,POINT (-16.063763788684998 16.38229167045499)
613,444301.0,-16.026263788745,16.38229167045499,POINT (-16.026263788745 16.38229167045499)
614,444335.0,-15.955430455524995,16.38229167045499,POINT (-15.955430455524995 16.38229167045499)
615,444345.0,-15.934597122224996,16.38229167045499,POINT (-15.934597122224996 16.38229167045499)
622,447277.0,-16.028347122074997,16.38020833712499,POINT (-16.028347122074997 16.38020833712499)
627,453213.0,-16.065847122014997,16.37604167046499,POINT (-16.065847122014997 16.37604167046499)
628,453244.0,-16.001263788784996,16.37604167046499,POINT (-16.001263788784996 16.37604167046499)
629,453247.0,-15.995013788794996,16.37604167046499,POINT (-15.995013788794996 16.37604167046499)
631,456178.0,-16.090847121974996,16.37395833713499,POINT (-16.090847121974996 16.37395833713499)
632,456228.0,-15.986680455474996,16.37395833713499,POINT (-15.986680455474996 16.37395833713499)
633,456241.0,-15.959597122184997,16.37395833713499,POINT (-15.959597122184997 16.37395833713499)
636,459161.0,-16.078347121994998,16.37187500380499,POINT (-16.078347121994998 16.37187500380499)
637,459197.0,-16.003347122115,16.37187500380499,POINT (-16.003347122115 16.37187500380499)
642,462122.0,-16.111680455274996,16.36979167047499,POINT (-16.111680455274996 16.36979167047499)
643,462129.0,-16.097097121964996,16.36979167047499,POINT (-16.097097121964996 16.36979167047499)
644,462161.0,-16.030430455404996,16.36979167047499,POINT (-16.030430455404996 16.36979167047499)
647,465101.0,-16.107513788614998,16.36770833714499,POINT (-16.107513788614998 16.36770833714499)
648,465106.0,-16.097097121964996,16.36770833714499,POINT (-16.097097121964996 16.36770833714499)
649,465120.0,-16.067930455344996,16.36770833714499,POINT (-16.067930455344996 16.36770833714499)
653,468082.0,-16.099180455295,16.36562500381499,POINT (-16.099180455295 16.36562500381499)
654,468138.0,-15.982513788814996,16.36562500381499,POINT (-15.982513788814996 16.36562500381499)
655,471046.0,-16.126263788584996,16.363541670484988,POINT (-16.126263788584996 16.363541670484988)
656,471055.0,-16.107513788614998,16.363541670484988,POINT (-16.107513788614998 16.363541670484988)
657,471068.0,-16.080430455324997,16.363541670484988,POINT (-16.080430455324997 16.363541670484988)
658,471112.0,-15.988763788804995,16.363541670484988,POINT (-15.988763788804995 16.363541670484988)
659,474045.0,-16.080430455324997,16.36145833715499,POINT (-16.080430455324997 16.36145833715499)
660,474085.0,-15.997097122124996,16.36145833715499,POINT (-15.997097122124996 16.36145833715499)
662,477061.0,-15.999180455454995,16.35937500382499,POINT (-15.999180455454995 16.35937500382499)
664,479986.0,-16.107513788614998,16.35729167049499,POINT (-16.107513788614998 16.35729167049499)
665,479992.0,-16.095013788634997,16.35729167049499,POINT (-16.095013788634997 16.35729167049499)
668,485942.0,-16.103347121954997,16.35312500383499,POINT (-16.103347121954997 16.35312500383499)
670,488936.0,-16.067930455344996,16.35104167050499,POINT (-16.067930455344996 16.35104167050499)
671,491913.0,-16.067930455344996,16.348958337174988,POINT (-16.067930455344996 16.348958337174988)
672,491914.0,-16.065847122014997,16.348958337174988,POINT (-16.065847122014997 16.348958337174988)
675,494800.0,-16.255430455044998,16.34687500384499,POINT (-16.255430455044998 16.34687500384499)
676,494877.0,-16.095013788634997,16.34687500384499,POINT (-16.095013788634997 16.34687500384499)
677,494886.0,-16.076263788664996,16.34687500384499,POINT (-16.076263788664996 16.34687500384499)
679,497852.0,-16.099180455295,16.34479167051499,POINT (-16.099180455295 16.34479167051499)
680,500837.0,-16.082513788654996,16.34270833718499,POINT (-16.082513788654996 16.34270833718499)
681,503725.0,-16.267930455025,16.34062500385499,POINT (-16.267930455025 16.34062500385499)
682,503775.0,-16.163763788524996,16.34062500385499,POINT (-16.163763788524996 16.34062500385499)
683,503790.0,-16.132513788574997,16.34062500385499,POINT (-16.132513788574997 16.34062500385499)
684,503812.0,-16.086680455314998,16.34062500385499,POINT (-16.086680455314998 16.34062500385499)
685,503818.0,-16.074180455334997,16.34062500385499,POINT (-16.074180455334997 16.34062500385499)
686,503819.0,-16.072097122004998,16.34062500385499,POINT (-16.072097122004998 16.34062500385499)
687,506781.0,-16.103347121954997,16.33854167052499,POINT (-16.103347121954997 16.33854167052499)
688,506793.0,-16.078347121994998,16.33854167052499,POINT (-16.078347121994998 16.33854167052499)
689,506794.0,-16.076263788664996,16.33854167052499,POINT (-16.076263788664996 16.33854167052499)
690,509746.0,-16.128347121915,16.33645833719499,POINT (-16.128347121915 16.33645833719499)
691,509777.0,-16.063763788684998,16.33645833719499,POINT (-16.063763788684998 16.33645833719499)
692,512714.0,-16.147097121884997,16.334375003864988,POINT (-16.147097121884997 16.334375003864988)
693,515720.0,-16.086680455314998,16.33229167053499,POINT (-16.086680455314998 16.33229167053499)
695,518686.0,-16.109597121944997,16.33020833720499,POINT (-16.109597121944997 16.33020833720499)
696,521657.0,-16.122097121924998,16.32812500387499,POINT (-16.122097121924998 16.32812500387499)
697,521682.0,-16.070013788675,16.32812500387499,POINT (-16.070013788675 16.32812500387499)
698,524648.0,-16.092930455304998,16.32604167054499,POINT (-16.092930455304998 16.32604167054499)
701,530602.0,-16.092930455304998,16.32187500388499,POINT (-16.092930455304998 16.32187500388499)
702,530616.0,-16.063763788684998,16.32187500388499,POINT (-16.063763788684998 16.32187500388499)
703,530620.0,-16.055430455365,16.32187500388499,POINT (-16.055430455365 16.32187500388499)
704,533557.0,-16.138763788564997,16.319791670554988,POINT (-16.138763788564997 16.319791670554988)
705,533564.0,-16.124180455254997,16.319791670554988,POINT (-16.124180455254997 16.319791670554988)
706,533572.0,-16.107513788614998,16.319791670554988,POINT (-16.107513788614998 16.319791670554988)
707,533578.0,-16.095013788634997,16.319791670554988,POINT (-16.095013788634997 16.319791670554988)
708,536484.0,-16.242930455064997,16.31770833722499,POINT (-16.242930455064997 16.31770833722499)
709,536485.0,-16.240847121734998,16.31770833722499,POINT (-16.240847121734998 16.31770833722499)
710,536557.0,-16.090847121974996,16.31770833722499,POINT (-16.090847121974996 16.31770833722499)
713,539523.0,-16.113763788605,16.31562500389499,POINT (-16.113763788605 16.31562500389499)
714,539535.0,-16.088763788644997,16.31562500389499,POINT (-16.088763788644997 16.31562500389499)
716,542439.0,-16.240847121734998,16.31354167056499,POINT (-16.240847121734998 16.31354167056499)
717,542506.0,-16.101263788624998,16.31354167056499,POINT (-16.101263788624998 16.31354167056499)
718,542511.0,-16.090847121974996,16.31354167056499,POINT (-16.090847121974996 16.31354167056499)
719,542514.0,-16.084597121985,16.31354167056499,POINT (-16.084597121985 16.31354167056499)
720,545462.0,-16.145013788554998,16.31145833723499,POINT (-16.145013788554998 16.31145833723499)
721,545470.0,-16.128347121915,16.31145833723499,POINT (-16.128347121915 16.31145833723499)
722,545484.0,-16.099180455295,16.31145833723499,POINT (-16.099180455295 16.31145833723499)
723,545498.0,-16.070013788675,16.31145833723499,POINT (-16.070013788675 16.31145833723499)
724,548450.0,-16.122097121924998,16.30937500390499,POINT (-16.122097121924998 16.30937500390499)
725,554415.0,-16.099180455295,16.305208337244988,POINT (-16.099180455295 16.305208337244988)
726,554420.0,-16.088763788644997,16.305208337244988,POINT (-16.088763788644997 16.305208337244988)
727,557378.0,-16.128347121915,16.30312500391499,POINT (-16.128347121915 16.30312500391499)
