"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
90,201,"SEN","Senegal",11,"Saint-Louis",35,"Saint-Louis",90,"Rao","Arrondissment","Arrondissement",NA,NA
91,201,"SEN","Senegal",12,"Tambacounda",36,"Bakel",91,"Bele","Arrondissment","Arrondissement",NA,NA
92,201,"SEN","Senegal",12,"Tambacounda",36,"Bakel",92,"Kenieba","Arrondissment","Arrondissement",NA,NA
93,201,"SEN","Senegal",12,"Tambacounda",36,"Bakel",93,"Moudery","Arrondissment","Arrondissement",NA,NA
94,201,"SEN","Senegal",12,"Tambacounda",37,"Goudiry",94,"Bala","Arrondissment","Arrondissement",NA,NA
95,201,"SEN","Senegal",12,"Tambacounda",37,"Goudiry",95,"Boynguel Bamba","Arrondissment","Arrondissement",NA,NA
96,201,"SEN","Senegal",12,"Tambacounda",37,"Goudiry",96,"Dianke Makha","Arrondissment","Arrondissement",NA,NA
97,201,"SEN","Senegal",12,"Tambacounda",37,"Goudiry",97,"Koulor","Arrondissment","Arrondissement",NA,NA
98,201,"SEN","Senegal",12,"Tambacounda",38,"Koupentoum",98,"Bamba Ndiayene","Arrondissment","Arrondissement",NA,NA
99,201,"SEN","Senegal",12,"Tambacounda",38,"Koupentoum",99,"Kouthiaba Ouolof","Arrondissment","Arrondissement",NA,NA
100,201,"SEN","Senegal",12,"Tambacounda",39,"Tambacounda",100,"Koussanar","Arrondissment","Arrondissement",NA,NA
101,201,"SEN","Senegal",12,"Tambacounda",39,"Tambacounda",101,"Makacoulibantang","Arrondissment","Arrondissement",NA,NA
102,201,"SEN","Senegal",12,"Tambacounda",39,"Tambacounda",102,"Missirah","Arrondissment","Arrondissement",NA,NA
103,201,"SEN","Senegal",13,"Thiès",40,"Mbour",103,"Fissel","Arrondissment","Arrondissement",NA,NA
104,201,"SEN","Senegal",13,"Thiès",40,"Mbour",104,"Sessene","Arrondissment","Arrondissement",NA,NA
105,201,"SEN","Senegal",13,"Thiès",40,"Mbour",105,"Sindia","Arrondissment","Arrondissement",NA,NA
106,201,"SEN","Senegal",13,"Thiès",41,"Thiès",106,"Keur Moussa","Arrondissment","Arrondissement",NA,NA
107,201,"SEN","Senegal",13,"Thiès",41,"Thiès",107,"Notto","Arrondissment","Arrondissement",NA,NA
108,201,"SEN","Senegal",13,"Thiès",41,"Thiès",108,"Thienaba","Arrondissment","Arrondissement",NA,NA
109,201,"SEN","Senegal",13,"Thiès",41,"Thiès",109,"Thies Nord","Arrondissment","Arrondissement",NA,NA
110,201,"SEN","Senegal",13,"Thiès",41,"Thiès",110,"Thies Sud","Arrondissment","Arrondissement",NA,NA
